session,base_session,model,root_agent,root_generation,is_root_swarm_session,meta_created_utc,meta_updated_utc,meta_message_count,actual_message_count,assistant_messages_stream_count,first_assistant_utc,last_assistant_utc,usage_records,prompt_tokens_recorded,completion_tokens_recorded,cached_tokens_recorded,gen2_memory_says_no_inbound_citers,phase1_raw_inbound_events,parse_error
6b8d7cc1-6ef.archive.0,6b8d7cc1-6ef,seed-stable-reasoning-high,agent-026,1,True,2026-08-01T20:19:06.633861Z,2026-08-01T20:19:06.633861Z,201,not_loaded_memory_safe,91,2026-08-01T16:22:16.789339Z,2026-08-01T20:17:26.275977Z,not_scanned,,,,False,22,False
6b8d7cc1-6ef.archive.1,6b8d7cc1-6ef,seed-stable-reasoning-high,agent-026,1,True,2026-08-01T22:43:28.668617Z,2026-08-01T22:43:28.668617Z,276,not_loaded_memory_safe,148,2026-08-01T20:12:26.352298Z,2026-08-01T22:42:18.649262Z,not_scanned,,,,False,,False
6b8d7cc1-6ef,6b8d7cc1-6ef,seed-stable-reasoning-high,agent-026,1,True,2026-08-01T16:21:55.136817Z,2026-08-02T20:46:06.772688Z,192,not_loaded_memory_safe,106,2026-08-01T20:32:45.682253Z,2026-08-02T20:42:07.855046Z,not_scanned,,,,False,,False
6c738221-eaf,6c738221-eaf,es1_orange_o50_thinking,agent-019,1,True,2026-08-01T16:21:33.901885Z,2026-08-02T20:45:33.913419Z,361,not_loaded_memory_safe,415,2026-08-01T16:22:10.853080Z,2026-08-02T20:40:59.727730Z,not_scanned,,,,False,26,False
6eb4d48d-57a,6eb4d48d-57a,gpt56_sol_reasoning_high,agent-005,1,True,2026-08-01T16:21:25.516145Z,2026-08-03T06:54:57.619054Z,1125,not_loaded_memory_safe,407,2026-08-01T16:21:37.255385Z,2026-08-03T06:54:57.496506Z,not_scanned,,,,False,77,False
6f13cbbd-4ea,6f13cbbd-4ea,gpt56_sol_reasoning_xhigh,agent-004,1,True,2026-08-01T16:21:25.442889Z,2026-08-02T20:40:32.197870Z,772,not_loaded_memory_safe,345,2026-08-01T16:21:54.691935Z,2026-08-02T15:39:18.807828Z,not_scanned,,,,False,43,False
6f180e04-38e,6f180e04-38e,es1_orange_o50_thinking_max,agent-013,2,True,2026-08-02T08:24:35.795572Z,2026-08-02T20:44:02.593913Z,60,not_loaded_memory_safe,62,2026-08-02T08:26:50.531472Z,2026-08-02T20:40:09.913697Z,not_scanned,,,,True,36,False
76b7226e-bfb,76b7226e-bfb,gpt56_sol_reasoning_high,agent-008,1,True,2026-08-01T16:21:27.999817Z,2026-08-02T20:46:11.510027Z,922,not_loaded_memory_safe,454,2026-08-01T16:21:55.008652Z,2026-08-02T20:42:10.726151Z,not_scanned,,,,False,42,False
79ef43d3-10c,79ef43d3-10c,seed-stable-reasoning-high,agent-027,2,True,2026-08-02T08:46:41.394446Z,2026-08-02T20:46:19.046856Z,62,not_loaded_memory_safe,20,2026-08-02T08:47:32.095564Z,2026-08-02T20:44:09.514876Z,not_scanned,,,,True,15,False
7c3f5e25-eca,7c3f5e25-eca,gpt56_sol,agent-011,1,True,2026-08-01T16:21:30.515469Z,2026-08-02T15:39:24.708764Z,753,not_loaded_memory_safe,322,2026-08-01T16:21:56.199936Z,2026-08-02T15:35:40.590184Z,not_scanned,,,,False,55,False
